Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:52.499124
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,4100.07
Minimum Reflectance,350.0
Other Information,
References,
Resolution,
Sample Description,
Sample ID,FELD_Plagioclase_NCLS04_USGS
Sample Name,FELD_Plagioclase_NCLS04_USGS
Sample Type,
Viewing Geometry,
filter,wavelength,solar_illuminated_response,response
L7,432.0,0.2611699566,0.2607453383
R1,436.0,0.2616608752,0.2613150638
L6,482.0,0.2689574038,0.2689571878
L5,535.0,0.2759453204,0.2759651691
L4,601.0,0.2892774509,0.2892909823
L3,673.0,0.3082886556,0.3083136734
L1,739.0,0.3078947054,0.3126468794
L2,753.0,0.3235432449,0.323562891
R2,754.0,0.3237294092,0.3237505285
R3,803.0,0.3301262504,0.3301378719
R4,864.0,0.3313755556,0.3313701314
R5,904.0,0.3300235689,0.3300173302
R6,934.0,0.3285825701,0.3285698026
R7,1009.0,0.3156318481,0.3154499116
filter,wavelength,solar_illuminated_response,response
p0,440.0,0.262416344,0.2621117969
p5,670.0,0.3076107357,0.3076477712
p6,800.0,0.329801884,0.3298228204
p7,860.0,0.3312530862,0.3312455499
p8,900.0,0.3302035453,0.3301880704
p9,930.0,0.3286932561,0.3286693148
p11,965.0,0.3238466208,0.3237669766
p10,1000.0,0.3165528607,0.3164510441
filter,wavelength,solar_illuminated_response,response
coastal_aerosol,443.0,0.2661346936,0.2634554435
blue,482.0,0.2702942536,0.2690003152
green,561.0,0.2807645417,0.2806002619
pan,589.0,0.2876937225,0.2883597361
red,655.0,0.303822373,0.303742497
nir,865.0,0.3304951219,0.3312707756
cirrus,1373.0,0.2932959328,0.2933407995
swir1,1609.0,0.3285416332,0.3288424734
swir2,2200.0,0.3371982707,0.337276698
