Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:48.909649
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2560.0
Minimum Reflectance,395.1
Other Information,
References,
Resolution,
Sample Description,
Sample ID,CARB_Magnesite_45-63um_EhlmannEtAl2011LPSCinPrep
Sample Name,CARB_Magnesite_45-63um_EhlmannEtAl2011LPSCinPrep
Sample Type,
Viewing Geometry,
filter,wavelength,solar_illuminated_response,response
L7,432.0,0.7657451243,0.7543242948
R1,436.0,0.7710889205,0.76224535
L6,482.0,0.7783895373,0.7816648949
L5,535.0,0.800963198,0.7932036757
L4,601.0,0.8004948357,0.7997483154
L3,673.0,0.8036076131,0.8041848525
L1,739.0,0.7979030538,0.7967701711
L2,753.0,0.7998035177,0.7996341232
R2,754.0,0.7996784592,0.7996126348
R3,803.0,0.8049642593,0.7987500744
R4,864.0,0.807127296,0.7944781949
R5,904.0,0.7932858571,0.7923846695
R6,934.0,0.792014374,0.7918964684
R7,1009.0,0.7915472776,0.7908370624
filter,wavelength,solar_illuminated_response,response
p0,440.0,0.7759620157,0.7663924205
p5,670.0,0.8026251928,0.8038995403
p6,800.0,0.8039354426,0.7987848998
p7,860.0,0.8162578611,0.7948804583
p8,900.0,0.7930114248,0.7924437262
p9,930.0,0.7928087935,0.7919438207
p11,965.0,0.7937031631,0.7917277651
p10,1000.0,0.7909282132,0.790884913
filter,wavelength,solar_illuminated_response,response
coastal_aerosol,443.0,0.773728593,0.7699551384
blue,482.0,0.7840096909,0.781642002
green,561.0,0.798012594,0.7963917
pan,589.0,0.7994031702,0.7980505243
red,655.0,0.8026366731,0.8026355237
nir,865.0,0.8060642767,0.7944213031
cirrus,1373.0,0.7814216664,0.7807235913
swir1,1609.0,0.7678278128,0.76690964
swir2,2200.0,0.6965959822,0.6972720302
