Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:59.649682
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2505.0
Minimum Reflectance,405.0
Other Information,
References,
Resolution,
Sample Description,
Sample ID,Chloride_Bischofite_Crowley
Sample Name,Chloride_Bischofite_Crowley
Sample Type,
Viewing Geometry,
filter,wavelength,solar_illuminated_response,response
L7,432.0,0.7440830166,0.7393502914
R1,436.0,0.753089069,0.7509147414
L6,482.0,0.7702480049,0.7702508422
L5,535.0,0.7713913397,0.7714079508
L4,601.0,0.7707680921,0.7707766634
L3,673.0,0.773240319,0.7732344473
L1,739.0,0.7662209975,0.7625312818
L2,753.0,0.7651181031,0.7651080481
R2,754.0,0.7649942205,0.7649844331
R3,803.0,0.767574366,0.7679868506
R4,864.0,0.7787521062,0.7668824847
R5,904.0,0.7641976062,0.7645987316
R6,934.0,0.7464367536,0.745476572
R7,1009.0,0.6929144222,0.6934544139
filter,wavelength,solar_illuminated_response,response
p0,440.0,0.7611911757,0.7603370463
p5,670.0,0.7733862734,0.7733789669
p6,800.0,0.7679028259,0.7680268781
p7,860.0,0.7839455523,0.7665074283
p8,900.0,0.7645599714,0.7647957101
p9,930.0,0.7480136255,0.7468385058
p11,965.0,0.6855091984,0.6841164234
p10,1000.0,0.6855269419,0.6854825814
