Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:54.300280
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2500.0
Minimum Reflectance,350.0
Other Information,
References,
Resolution,
Sample Description,
Sample ID,Pyx_Pigeonite_PYX112_En64.8_Fs26.9_Wo8.3_45-90microns_HOSERLab
Sample Name,Pyx_Pigeonite_PYX112_En64.8_Fs26.9_Wo8.3_45-90microns_HOSERLab
Sample Type,
Viewing Geometry,
filter,wavelength,solar_illuminated_response,response
L7,432.0,0.0799514541,0.0797718174
R1,436.0,0.080183122,0.0800425082
L6,482.0,0.0841362637,0.0841406861
L5,535.0,0.0884430779,0.0884497466
L4,601.0,0.0970567741,0.0970651535
L3,673.0,0.112131268,0.1121616512
L1,739.0,0.1015510603,0.1001294486
L2,753.0,0.1301538418,0.1301480172
R2,754.0,0.1301146949,0.1301076385
R3,803.0,0.1118211751,0.1117548797
R4,864.0,0.0754464823,0.0754597439
R5,904.0,0.0669105154,0.0668881571
R6,934.0,0.0665900569,0.0666001799
R7,1009.0,0.0914089567,0.0919894649
filter,wavelength,solar_illuminated_response,response
p0,440.0,0.0805922003,0.0804695373
p5,670.0,0.1114148263,0.1114576773
p6,800.0,0.1130557077,0.1129472593
p7,860.0,0.0771653185,0.0771437143
p8,900.0,0.0675790895,0.0675276125
p9,930.0,0.06662365,0.0666389881
p11,965.0,0.0726383898,0.0727677428
p10,1000.0,0.0877572752,0.0880227961
filter,wavelength,solar_illuminated_response,response
coastal_aerosol,443.0,0.0811083532,0.0810965981
blue,482.0,0.0841047322,0.0841309396
green,561.0,0.0911374766,0.0911621489
pan,589.0,0.0961563119,0.0967071565
red,655.0,0.1074895175,0.1075539364
nir,865.0,0.0754866985,0.075449453
cirrus,1373.0,0.1946430944,0.1946317253
swir1,1609.0,0.1343049207,0.1339910201
swir2,2200.0,0.1569143278,0.1586483895
filter,wavelength,solar_illuminated_response,response
filter2_440nm_34mm,445.0,0.0831568311,0.0841113029
bayer_blue,495.0,0.0853599152,0.0855601372
filter1_525nm_34mm,527.0,0.0881465508,0.0883886993
bayer_green,554.0,0.0905762661,0.0909172302
bayer_red,640.0,0.1036783169,0.1040631867
filter4_675nm_34mm,676.0,0.1129683657,0.1130024608
filter3_750nm_34mm,751.0,0.1299205024,0.1299422437
filter3_800nm_100mm,805.0,0.1100669739,0.1100266185
filter5_865nm_34mm,867.0,0.0746142219,0.074563552
filter4_905nm_100mm,908.0,0.066815983,0.0667044387
filter5_935nm_100mm,937.0,0.0674567869,0.0672761404
filter6_1035nm_34mm,1012.0,0.1005097268,0.1015527298
