Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:58.761629
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2976.0
Minimum Reflectance,221.1
Other Information,
References,
Resolution,
Sample Description,
Sample ID,Sulfate_Bassanite_GDS145_USGS
Sample Name,Sulfate_Bassanite_GDS145_USGS
Sample Type,
Viewing Geometry,
filter,wavelength,solar_illuminated_response,response
L7,432.0,0.7647559994,0.7563847262
R1,436.0,0.7662652001,0.7581745665
L6,482.0,0.804669082,0.8082018423
L5,535.0,0.8622332698,0.8539116792
L4,601.0,0.8900297331,0.8892172925
L3,673.0,0.9089145847,0.9095781846
L1,739.0,0.9000813628,0.9050656116
L2,753.0,0.9209613287,0.9207762202
R2,754.0,0.9209187553,0.9208544045
R3,803.0,0.9332042633,0.9260052192
R4,864.0,0.9390469911,0.9243480044
R5,904.0,0.924058629,0.9229638085
R6,934.0,0.918373307,0.9181721246
R7,1009.0,0.9135248144,0.9129835231
filter,wavelength,solar_illuminated_response,response
p0,440.0,0.7709693685,0.761109325
p5,670.0,0.9075617854,0.9090209604
p6,800.0,0.9318799059,0.9259196985
p7,860.0,0.9494331239,0.9245857949
p8,900.0,0.9238932958,0.9231851836
p9,930.0,0.9195817767,0.9184909534
p11,965.0,0.9112665292,0.9089156901
p10,1000.0,0.912278919,0.912419433
filter,wavelength,solar_illuminated_response,response
coastal_aerosol,443.0,0.768449099,0.7645471043
blue,482.0,0.8103725505,0.8082103102
green,561.0,0.8704310898,0.8687755128
pan,589.0,0.8801295936,0.8798616383
red,655.0,0.9054699801,0.9055252189
nir,865.0,0.9379602085,0.9244367005
cirrus,1373.0,0.8242471644,0.8234004859
swir1,1609.0,0.8479521262,0.847315092
swir2,2200.0,0.60748293,0.6066227668
filter,wavelength,solar_illuminated_response,response
filter2_440nm_34mm,445.0,0.7827048462,0.785168244
bayer_blue,495.0,0.8169068338,0.8175602464
filter1_525nm_34mm,527.0,0.8467705666,0.8494105824
bayer_green,554.0,0.8614024402,0.8614057532
bayer_red,640.0,0.897569808,0.8991909389
filter4_675nm_34mm,676.0,0.9100064568,0.9101760853
filter3_750nm_34mm,751.0,0.9204646174,0.9201534511
filter3_800nm_100mm,805.0,0.9326740946,0.9257741967
filter5_865nm_34mm,867.0,0.9254566062,0.9237256525
filter4_905nm_100mm,908.0,0.9245117144,0.9216334156
filter5_935nm_100mm,937.0,0.9145267196,0.9169317931
filter6_1035nm_34mm,1012.0,0.9137968153,0.9153171676
filter,wavelength,solar_illuminated_response,response
L6,442.0,0.771489348,0.762488466
L0B,482.0,0.8032321988,0.8005844641
L5,528.0,0.8500171987,0.848347781
L0G,544.0,0.8543632976,0.8539211942
L4,605.0,0.8908194104,0.8897273202
L0R,630.0,0.8944281037,0.8960424
L3,677.0,0.9101416537,0.9097195097
L2,754.0,0.9204180213,0.9202886277
L1,800.0,0.9325086489,0.92538445
R2,866.0,0.9332191553,0.923894104
R3,910.0,0.9245651074,0.9211843861
R4,939.0,0.9139613186,0.9159531556
R5,978.0,0.9075682158,0.9042252982
R6,1022.0,0.9135192721,0.9160300018
filter,wavelength,solar_illuminated_response,response
bg,501.6761135725,0.8199613212,0.8168254187
red,685.7899115028,0.9041036187,0.9070546913
nir,878.2928523721,0.9281606846,0.9222522824
