Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:47.920842
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2560.0
Minimum Reflectance,395.1
Other Information,
References,
Resolution,
Sample Description,
Sample ID,Phyllo_Chlorite_LACL14_RELAB
Sample Name,Phyllo_Chlorite_LACL14_RELAB
Sample Type,
Viewing Geometry,
filter,wavelength,solar_illuminated_response,response
L7,432.0,0.2525299632,0.2484042169
R1,436.0,0.2547953125,0.25152126
L6,482.0,0.2835709317,0.2848824355
L5,535.0,0.3005896516,0.2976690469
L4,601.0,0.2839041349,0.2836183662
L3,673.0,0.2556572453,0.2558006601
L1,739.0,0.2741694408,0.2740620744
L2,753.0,0.2621933996,0.2621922601
R2,754.0,0.2626211906,0.2626557969
R3,803.0,0.2845919384,0.2824164023
R4,864.0,0.2814681598,0.277035052
R5,904.0,0.2760322472,0.2757519727
R6,934.0,0.2823968533,0.2824083138
R7,1009.0,0.2997655076,0.2995866525
filter,wavelength,solar_illuminated_response,response
p0,440.0,0.2581103915,0.2545466377
p5,670.0,0.2565535216,0.2569059809
p6,800.0,0.2835789113,0.2818019615
p7,860.0,0.2852628768,0.2777612978
p8,900.0,0.2758178064,0.2756628843
p9,930.0,0.2819198788,0.2817087953
p11,965.0,0.2929074096,0.2922982345
p10,1000.0,0.2992699784,0.2993271278
filter,wavelength,solar_illuminated_response,response
coastal_aerosol,443.0,0.2586866743,0.2573734704
blue,482.0,0.2835421512,0.2829157102
green,561.0,0.295923371,0.2952719415
pan,589.0,0.2849546545,0.2833453364
red,655.0,0.2630478384,0.2629301577
nir,865.0,0.2810956001,0.2770044916
cirrus,1373.0,0.3821571603,0.381816486
swir1,1609.0,0.4380686525,0.4378205461
swir2,2200.0,0.4641063957,0.4630763778
