Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:58.563098
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2500.0
Minimum Reflectance,350.0
Other Information,
References,
Resolution,
Sample Description,
Sample ID,Sulfate_Rhomboclase_SPT139_HOSERLab
Sample Name,Sulfate_Rhomboclase_SPT139_HOSERLab
Sample Type,
Viewing Geometry,
filter,wavelength,solar_illuminated_response,response
L7,432.0,0.6728725276,0.6658004697
R1,436.0,0.6783653807,0.6721274519
L6,482.0,0.7516533228,0.7516683987
L5,535.0,0.7651761194,0.7652255884
L4,601.0,0.8004086127,0.8004352258
L3,673.0,0.8256549085,0.8256703328
L1,739.0,0.8087264697,0.8141637595
L2,753.0,0.8186021752,0.8185868742
R2,754.0,0.8184524739,0.8184367966
R3,803.0,0.8172941923,0.8173004777
R4,864.0,0.8256087928,0.8256060851
R5,904.0,0.8316301043,0.8316661152
R6,934.0,0.8364839654,0.8365057851
R7,1009.0,0.8529764128,0.853199495
filter,wavelength,solar_illuminated_response,response
p0,440.0,0.6829655561,0.6769059534
p5,670.0,0.8250979488,0.8251215712
p6,800.0,0.8171840204,0.817195083
p7,860.0,0.8249967412,0.8250056077
p8,900.0,0.8310418095,0.8311086361
p9,930.0,0.8359871107,0.8360381433
p11,965.0,0.8432642815,0.843368544
p10,1000.0,0.8516263697,0.8517389788
filter,wavelength,solar_illuminated_response,response
coastal_aerosol,443.0,0.7065604258,0.7051897855
blue,482.0,0.750667702,0.7507653041
green,561.0,0.7779854939,0.7780882029
pan,589.0,0.7916523528,0.7931950244
red,655.0,0.8211234309,0.8212189004
nir,865.0,0.8256581484,0.8256757092
cirrus,1373.0,0.8797471973,0.8797356813
swir1,1609.0,0.7228886577,0.7225126191
swir2,2200.0,0.5221080007,0.522199692
filter,wavelength,solar_illuminated_response,response
filter2_440nm_34mm,445.0,0.7088927457,0.7087259569
bayer_blue,495.0,0.7504231407,0.7504265623
filter1_525nm_34mm,527.0,0.7619186383,0.7624576612
bayer_green,554.0,0.7741487896,0.775050806
bayer_red,640.0,0.8128218098,0.8135417536
filter4_675nm_34mm,676.0,0.8260532289,0.8260670289
filter3_750nm_34mm,751.0,0.8181923244,0.8182745267
filter3_800nm_100mm,805.0,0.8170518196,0.8171540763
filter5_865nm_34mm,867.0,0.825075127,0.8254302589
filter4_905nm_100mm,908.0,0.8312771446,0.831738101
filter5_935nm_100mm,937.0,0.8358660898,0.8365087725
filter6_1035nm_34mm,1012.0,0.8541582279,0.8556027341
